N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
02-2009-0655,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,4,3,2.161740552,41.39430074
02-2009-0656,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,4,5,2.161740552,41.39430074
02-2009-0626,L'EIXAMPLE,Sant Antoni,CARRER,COMTE D'URGELL,2,20,,,,,,,5,2,2.161733259,41.37995707
04-2010-0211,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,5,4,2.131025036,41.38352989
06-2009-0061,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,12,,,,,,,BJ,,2.166269441,41.40736416
06-2009-0150,GRACIA,la Vila de Gràcia,PASSEIG,GRACIA,1,115,,,,,,,2,3,2.158336102,41.39704927
02-2009-0637,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,ROSSELLO,1,27,,,,,,,3,1,2.144014863,41.38339865
03-2009-0190,SANTS-MONTJUÏC,el Poble Sec,CARRER,ROSER,1,37,,,,,,,1,2,2.166570606,41.37309387
03-2009-0191,SANTS-MONTJUÏC,el Poble Sec,CARRER,POETA CABANYES,1,51,,,,,,,1,2,2.164961964,41.3730727
10-2009-0346,SANT MARTI,la Vila Olímpica del Poblenou,CARRER,SALVADOR ESPRIU,1,79,,,,,,,BJ,B,2.199917229,41.39133785
03-2009-0128,SANTS-MONTJUÏC,Hostafrancs,CARRER,TORRE D'EN DAMIANS,2,4,,,,,,,1,1,2.144796465,41.37541721
03-2009-0129,SANTS-MONTJUÏC,Hostafrancs,CARRER,TORRE D'EN DAMIANS,2,4,,,,,,,2,1,2.144796465,41.37541721
03-2009-0130,SANTS-MONTJUÏC,Hostafrancs,CARRER,TORRE D'EN DAMIANS,2,4,,,,,,,1,2,2.144796465,41.37541721
03-2009-0175,SANTS-MONTJUÏC,Sants,PASSEIG,SANT ANTONI,2,30,,,,,,,2,4,2.137886611,41.37717022
