N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA
01-2023-0375,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,VOLTA D'EN BUFANALLA,1,3,,,,,,,2,
01-2023-0529,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,POU DE LA FIGUERA,2,16,,,,,,,2,
01-2024-0020,01,CIUTAT VELLA,01,el Raval,Carrer,PEU DE LA CREU,2,28,B,,B,,,,1,2
01-2024-0038,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,OBRADORS,1,9,,,,,,,2,2
01-2024-0059,01,CIUTAT VELLA,03,la Barceloneta,Carrer,MESTRANÇA,1,33,,,,,,,3,
01-2024-0110,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,3,2
01-2024-0165,01,CIUTAT VELLA,03,la Barceloneta,Carrer,ALMIRALL BARCELO,1,3,,,,,,,3,1
02-2008-0470,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Ronda,SANT PERE,2,38,,,,,,,01,1
02-2008-0590,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ARAGO,1,291,,,,,,,2,2
02-2008-0663,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,MARINA,1,223,,,,,,,03,2
02-2008-0709,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,PELAI,1,11,,,,,,,1,G
02-2008-0721,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,662,,,,,,,4,2A
02-2008-0818,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,ARIBAU,1,167,,,,,,,4,1
02-2008-0833,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,1,159,,,,,,,5,2
02-2008-0878,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,GIRONA,1,99,,,,,,,01,1
02-2008-0898,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,01,2
02-2008-0899,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,GIRONA,1,97,,,,,,,01,3
02-2008-0972,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Ronda,SANT PERE,1,3,,,,,,,2,5
02-2008-1034,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,MARINA,2,306,,,,,,C,01,3
02-2008-1042,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,MARINA,2,306,,,,,,C,03,3
02-2008-1043,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,MARINA,2,306,,,,,,C,03,4
02-2008-1054,02,L'EIXAMPLE,10,Sant Antoni,Carrer,ALDANA,1,3,,,,,,,02,5
02-2008-1111,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,GIRONA,1,15,,,,,,,02,2
02-2008-1139,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Rambla,CATALUNYA,2,98,B,,,,,,02,2
02-2008-1181,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ARAGO,1,281,,,,,,,05,2
02-2008-1220,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,317,,,,,,,PR,1
02-2008-1231,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,DIPUTACIO,1,197,,,,,,,05,1
02-2009-0029,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Plaça,DOCTOR LETAMENDI,2,26,,,,,,,01,1
02-2009-0104,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Passeig,GRACIA,1,3,,,,,,,04,7
02-2009-0157,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ARAGO,1,373,,,,,,,PR,1
02-2009-0159,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ARAGO,1,373,,,,,,,01,2
02-2009-0216,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,PADILLA,1,275,,,,,,,2,3
02-2009-0303,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,620,,,,,,,2,3
02-2009-0355,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,561,,,,,,D,PR,B
02-2009-0378,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,VALENCIA,2,366,,,,,,,04,3
02-2009-0401,02,L'EIXAMPLE,10,Sant Antoni,Avinguda,PARAL.LEL,2,204,,,,,,,6,A
02-2009-0416,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ROGER DE FLOR,2,148,,,,,,D,3,2
02-2009-0467,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,VALENCIA,2,366,,,,,,,PR,2
02-2009-0605,02,L'EIXAMPLE,09,la Nova Esquerra de l'Eixample,Carrer,ROSSELLO,1,23,,,,,,,AT,2
02-2009-0652,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Passeig,GRACIA,1,83,,,,,,,02,3
02-2009-0677,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,ROSSELLO,2,258,,,,,,,PR,1
02-2009-0753,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,VILLARROEL,1,163,,,,,,,06,2
02-2009-0755,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,VILLARROEL,1,163,,,,,,,07,2
02-2009-0761,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,BALMES,2,8,,,,,,,PR,3
02-2009-0875,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Passeig,GRACIA,2,16,,,,,,,01,2
02-2009-0939,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Passeig,GRACIA,1,83,,,,,,,05,1
02-2009-0967,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,CASP,2,74,,,,,,,01,4
02-2009-0971,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,CASP,2,74,,,,,,,02,3
02-2009-0973,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,CASP,2,74,,,,,,,02,5
02-2009-0979,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,CASP,2,74,,,,,,,03,4
02-2009-1040,02,L'EIXAMPLE,07,la Dreta de l'Eixample,Carrer,DIPUTACIO,2,266,,,,,,,PR,2B
02-2009-1128,02,L'EIXAMPLE,06,la Sagrada Família,Avinguda,GAUDI,2,14,,,,,,,02,1
02-2009-1149,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,INDUSTRIA,1,165,,,,,,,04,3
02-2009-1180,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Carrer,VALENCIA,1,115,,,,,,,04,2
02-2009-1190,02,L'EIXAMPLE,10,Sant Antoni,Carrer,PARLAMENT,1,23,,,,,,,02,3
02-2010-0024,02,L'EIXAMPLE,08,l'Antiga Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,569,,,,,,A,PR,2
02-2010-0045,02,L'EIXAMPLE,10,Sant Antoni,Carrer,VILADOMAT,1,107,,,,,,,05,1
02-2010-0047,02,L'EIXAMPLE,05,el Fort Pienc,Carrer,SICILIA,1,143,,,,,,,EN,2
02-2010-0158,02,L'EIXAMPLE,06,la Sagrada Família,Carrer,ARAGO,1,423,,,,,,,PR,2
02-2010-0275,02,L'EIXAMPLE,10,Sant Antoni,Carrer,ENTENÇA,2,8,,,,,,,PR,1
