"ID_BCN","ID_PRINCIP","N_PRINCIP","ID_SECTOR","N_SECTOR","ID_GRUPACT","N_GRUPACT","ID_ACT","N_ACT","N_LOCAL","SN_CARRER","SN_MERCAT","ID_MERCAT","N_MERCAT","SN_GALERIA","N_GALERIA","SN_CCOMERC","ID_CCOMERC","N_CCOMERC","N_CARRER","NUM_POLICI","REF_CAD","DATA","Codi_Barri","Nom_Barri","Codi_Districte","N_DISTRI","N_EIX","SN_EIX","SEC_CENS","Y_UTM_ETRS","X_UTM_ETRS","LATITUD","LONGITUD"
61326,1,"Actiu",2,"Serveis",16,"Altres",16007,"Centres d'estètica","GLAMOURAMA",1,0,0," ",0," ",0,"0"," ","FULTON",8,"0070422DF3807A",2016-10-18,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7117,4586817.003,429968.117,41.429866,2.161828
61327,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1002,"Carn i Porc","MON IBERIC",1,0,0," ",0," ",0,"0"," ","BAIXADA DE LA POLANA",37,"9770708DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586817.402,429720.749,41.429848,2.158868
61328,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","ROIG I SOLE",1,"8371301DF2887A",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7095,4586818.069,428169.688,41.429717,2.140306
61329,1,"Actiu",1,"Comerç al detall",3,"Parament de la llar",3002,"Material equipament llar","HORTA DESCANS",1,0,0," ",0," ",0,"0"," ","FULTON",9,"0070106DF3807A",2016-10-17,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7117,4586818.659,429946.305,41.429879,2.161567
61731,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1002,"Carn i Porc","TOCINERIA JOAN",1,0,0," ",0," ",0,"0"," ","POESIA",1,"8570405DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4587043.854,428413.053,41.431772,2.143192
61732,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","POESIA",1,"8570405DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4587044.03,428442.397,41.431776,2.143543
61733,1,"Actiu",2,"Serveis",16,"Altres",16006,"Perruqueries","PERRUQUERIA SN",1,0,0," ",0," ",0,"0"," ","POESIA",1,"8570405DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4587044.471,428422.146,41.431778,2.1433
61734,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","CAN TRAVI",47,"9072410DF2897C",2016-10-19,41,"la Vall d'Hebron",7,"Horta-Guinardó",,0,7100,4587044.824,428999.876,41.431833,2.150214
61735,1,"Actiu",2,"Serveis",16,"Altres",16004,"Serveis a les empreses i oficines","ANFIBIC LA TEVA IDEA LA TEVA WEB",1,0,0," ",0," ",0,"0"," ","POESIA",1,"8570405DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4587044.918,428455.022,41.431785,2.143694
61736,1,"Actiu",2,"Serveis",16,"Altres",16001,"Activitats de transport i emmagatzematge","RESTAU CONDAL S.L.",1,0,0," ",0," ",0,"0"," ","POESIA",1,"8570405DF2887B",2016-10-18,40,"Montbau",7,"Horta-Guinardó",,0,7094,4587045.7,428406.992,41.431788,2.143119
61737,1,"Actiu",3,"Altres",17,"Altres",17006,"Activitats de la construcció","KIMA",1,0,0," ",0," ",0,"0"," ","COIMBRA",2,"9572409DF2897D",2016-10-13,43,"Horta",7,"Horta-Guinardó",,0,7112,4587045.847,429446.379,41.431881,2.155558
61738,1,"Actiu",2,"Serveis",16,"Altres",16006,"Perruqueries","PERRUQUERIA MARINA",1,0,0," ",0," ",0,"0"," ","CHAPI",64,"9873714DF2897D",2016-10-19,43,"Horta",7,"Horta-Guinardó",,0,7115,4587045.958,429815.891,41.431915,2.15998
